""
Date,Index Value
2022-01-01,3500
2022-01-02,3520
2022-01-03,3550
2022-01-04,3600
2022-01-05,3580
2022-01-06,3620
2022-01-07,3650
2022-01-08,3680
2022-01-09,3700
2022-01-10,3750
2022-01-11,3780
2022-01-12,3760
2022-01-13,3790
2022-01-14,3800
2022-01-15,3820
2022-01-16,3850
2022-01-17,3870
2022-01-18,3900
2022-01-19,3920
2022-01-20,3890
2022-01-21,3950
2022-01-22,3980
2022-01-23,4000
2022-01-24,4040
2022-01-25,4050
2022-01-26,4070
2022-01-27,4100
2022-01-28,4150
2022-01-29,4200
2022-01-30,4250
2022-01-31,4300
""
