""
Date,Earnings
2023-01-01,20000
2023-01-02,21000
2023-01-03,24000
2023-01-04,23000
2023-01-05,25000
2023-01-06,27000
2023-01-07,29000
2023-01-08,31000
2023-01-09,33000
2023-01-10,32000
2023-01-11,34000
2023-01-12,36000
2023-01-13,37000
2023-01-14,39000
2023-01-15,41000
2023-01-16,43000
2023-01-17,45000
2023-01-18,47000
2023-01-19,49000
2023-01-20,51000
2023-01-21,53000
2023-01-22,55000
2023-01-23,57000
2023-01-24,59000
2023-01-25,61000
2023-01-26,62000
2023-01-27,64000
2023-01-28,66000
2023-01-29,68000
2023-01-30,70000
2023-01-31,72000
""
