markdown
Date,Temperature
2023-01-01,18
2023-01-02,17.8
2023-01-03,17.3
2023-01-04,17.1
2023-01-05,16.8
2023-01-06,16.4
2023-01-07,16.0
2023-01-08,15.6
2023-01-09,15.2
2023-01-10,14.9
2023-01-11,14.5
2023-01-12,14.0
2023-01-13,13.9
2023-01-14,13.5
2023-01-15,13.2
2023-01-16,12.8
2023-01-17,12.6
2023-01-18,12.4
2023-01-19,12.1
2023-01-20,11.9
2023-01-21,11.6
2023-01-22,11.2
2023-01-23,11.0
2023-01-24,10.7
2023-01-25,10.4
2023-01-26,10.1
2023-01-27,9.9
2023-01-28,9.5
2023-01-29,9.2
2023-01-30,8.9
2023-01-31,8.6
""
