""
Date,Revenue
2023-01-01,100000
2023-01-02,99000
2023-01-03,98000
2023-01-04,96500
2023-01-05,96000
2023-01-06,95000
2023-01-07,94000
2023-01-08,93000
2023-01-09,92000
2023-01-10,91000
2023-01-11,90000
2023-01-12,89000
2023-01-13,88000
2023-01-14,87000
2023-01-15,86000
2023-01-16,85000
2023-01-17,84000
2023-01-18,83000
2023-01-19,82000
2023-01-20,81000
2023-01-21,80000
2023-01-22,79000
2023-01-23,78000
2023-01-24,77000
2023-01-25,76000
2023-01-26,75000
2023-01-27,74000
2023-01-28,73000
2023-01-29,72000
2023-01-30,71000
""
