""
Date, Temperature (°C)
2023-01-01,14
2023-01-02,13.8
2023-01-03,13.6
2023-01-04,13.4
2023-01-05,13.2
2023-01-06,13.0
2023-01-07,12.8
2023-01-08,12.6
2023-01-09,12.4
2023-01-10,12.2
2023-01-11,12.0
2023-01-12,11.8
2023-01-13,11.6
2023-01-14,11.4
2023-01-15,11.2
2023-01-16,11.0
2023-01-17,10.8
2023-01-18,10.6
2023-01-19,10.4
2023-01-20,10.2
...
2023-12-12,2.8
2023-12-13,2.6
2023-12-14,2.4
2023-12-15,2.2
2023-12-16,2.0
2023-12-17,1.9
2023-12-18,1.8
2023-12-19,1.7
2023-12-20,1.6
2023-12-21,1.5
2023-12-22,1.4
2023-12-23,1.3
2023-12-24,1.2
2023-12-25,1.1
2023-12-26,1.0
2023-12-27,0.9
2023-12-28,0.8
2023-12-29,0.7
2023-12-30,0.6
2023-12-31,0.5
""
