""
Year,Quarter,GDP Growth (%)
2010,Q1,0.8
2010,Q2,1.2
2010,Q3,1.5
2010,Q4,1.1
2011,Q1,1.0
2011,Q2,1.4
2011,Q3,1.6
2011,Q4,1.3
2012,Q1,1.2
2012,Q2,1.9
2012,Q3,1.7
2012,Q4,1.5
2013,Q1,1.1
2013,Q2,2.0
2013,Q3,1.8
2013,Q4,1.4
2014,Q1,1.3
2014,Q2,2.1
2014,Q3,2.0
2014,Q4,1.7
2015,Q1,1.4
2015,Q2,2.2
2015,Q3,2.1
2015,Q4,1.9
2016,Q1,1.5
2016,Q2,2.3
2016,Q3,2.2
2016,Q4,2.0
2017,Q1,1.6
2017,Q2,2.4
2017,Q3,2.3
2017,Q4,2.1
2018,Q1,1.8
2018,Q2,2.5
2018,Q3,2.4
2018,Q4,2.2
2019,Q1,2.0
2019,Q2,2.6
2019,Q3,2.5
2019,Q4,2.3
2020,Q1,1.9
2020,Q2,1.5
2020,Q3,2.0
2020,Q4,1.8
""
