Date,Steps
2023-04-01,4920
2023-04-02,7035
2023-04-03,5870
2023-04-04,6540
2023-04-05,7310
2023-04-06,5690
2023-04-07,8160
2023-04-08,4980
2023-04-09,5320
2023-04-10,6890
2023-04-11,7600
2023-04-12,8025
2023-04-13,8455
2023-04-14,9020
2023-04-15,4330
2023-04-16,5550
2023-04-17,4700
2023-04-18,7880
2023-04-19,6110
2023-04-20,4770
2023-04-21,5340
2023-04-22,6050
2023-04-23,6900
2023-04-24,7290
2023-04-25,8120
2023-04-26,8300
2023-04-27,8970
2023-04-28,6730
2023-04-29,7050
2023-04-30,5680
2023-05-01,6345
