Produce,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12
Tomatoes($/lb),1.50,1.30,1.25,1.35,1.40,1.20,1.15,1.25,1.30,1.50,1.45,1.40
Cucumbers($/lb),0.75,0.80,0.85,0.70,0.75,0.90,0.95,0.80,0.75,0.70,0.65,0.60
Onions($/lb),0.60,0.55,0.50,0.45,0.60,0.65,0.50,0.55,0.60,0.55,0.50,0.45
Peppers($/lb),1.20,1.10,1.25,1.15,1.30,1.20,1.10,1.00,1.00,1.10,1.20,1.15
Carrots($/lb),0.90,0.85,0.80,0.75,0.90,0.95,0.85,0.80,0.75,0.70,0.65,0.60
Zucchini($/lb),0.50,0.60,0.55,0.60,0.65,0.50,0.45,0.50,0.55,0.60,0.65,0.70
Lettuce(per head),1.00,1.05,0.95,1.00,1.10,1.00,0.90,0.85,0.80,0.75,0.70,0.65
Spinach($/lb),1.30,1.25,1.10,1.00,1.05,1.15,1.20,1.25,1.30,1.20,1.15,1.00
Apples($/lb),0.80,0.85,0.90,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.35
Pears($/lb),0.85,0.80,0.75,0.70,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00
Oranges($/lb),0.70,0.75,0.80,0.85,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.55
Berries($/lb),2.00,1.95,2.10,2.20,2.25,2.00,1.90,1.85,1.80,1.75,1.70,1.65
