Day of Week,Total Sales ($)
Monday,845
Tuesday,760
Wednesday,892
Thursday,931
Friday,1405
Saturday,1980
Sunday,1670
Monday,825
Tuesday,780
Wednesday,900
Thursday,950
Friday,1450
Saturday,2100
Sunday,1600
Monday,860
Tuesday,770
Wednesday,912
Thursday,940
Friday,1390
Saturday,2050
Sunday,1700
Monday,830
Tuesday,790
Wednesday,890
Thursday,930
Friday,1370
Saturday,2150
Sunday,1650
Monday,880
Tuesday,755
Wednesday,875
Thursday,910
Friday,1330
Saturday,2000
Sunday,1585
Monday,870
Tuesday,765
Wednesday,900
Thursday,890
Friday,1305
Saturday,1975
Sunday,1625
Monday,845
Tuesday,735
Wednesday,887
Thursday,925
Friday,1355
Saturday,2025
Sunday,1715
Monday,815
Tuesday,750
Wednesday,925
Thursday,975
Friday,1415
Saturday,2070
Sunday,1690
Monday,855
Tuesday,745
