Day,Steps
Monday,3409
Tuesday,7012
Wednesday,6890
Thursday,8492
Friday,4225
Saturday,10934
Sunday,11892
Monday,3801
Tuesday,7645
Wednesday,6032
Thursday,8079
Friday,4873
Saturday,12056
Sunday,12567
Monday,3598
Tuesday,7201
Wednesday,6956
Thursday,8420
Friday,4675
Saturday,11489
Sunday,12100
Monday,3672
Tuesday,7798
Wednesday,6284
Thursday,8234
Friday,4589
Saturday,11321
Sunday,11926
Monday,3760
Tuesday,7439
Wednesday,6587
Thursday,8307
Friday,4503
Saturday,11555
Sunday,12360
Monday,3914
Tuesday,7156
Wednesday,6413
Thursday,8550
Friday,4664
Saturday,11424
Sunday,12437
Monday,3945
Tuesday,6980
Wednesday,6056
Thursday,8111
Friday,4227
Saturday,11690
Sunday,12311
