Date,Steps
2023-03-01,10254
2023-03-02,9583
2023-03-03,12045
2023-03-04,11432
2023-03-05,10029
2023-03-06,10564
2023-03-07,11320
2023-03-08,9876
2023-03-09,8954
2023-03-10,13458
2023-03-11,14562
2023-03-12,7564
2023-03-13,8269
2023-03-14,9258
2023-03-15,10867
2023-03-16,11459
2023-03-17,11986
2023-03-18,10753
2023-03-19,12684
2023-03-20,13879
2023-03-21,9986
2023-03-22,8712
2023-03-23,10348
2023-03-24,12987
2023-03-25,14002
2023-03-26,11589
2023-03-27,11039
2023-03-28,10458
2023-03-29,9783
2023-03-30,8597
2023-03-31,9356
2023-04-01,12041
2023-04-02,13026
2023-04-03,9753
2023-04-04,8619
2023-04-05,10429
2023-04-06,11230
2023-04-07,12395
2023-04-08,11547
2023-04-09,10853
2023-04-10,9768
2023-04-11,8634
2023-04-12,9573
2023-04-13,10159
2023-04-14,11063
2023-04-15,12087
2023-04-16,7563
2023-04-17,8247
2023-04-18,9348
2023-04-19,10564
