""
Date,Exercise Duration (minutes),Mental Health Score
2024-01-01,30,75
2024-01-02,45,80
2024-01-03,35,78
2024-01-04,50,82
2024-01-05,40,79
2024-01-06,60,85
2024-01-07,55,83
2024-01-08,65,87
2024-01-09,70,88
2024-01-10,50,82
2024-01-11,40,79
2024-01-12,45,80
2024-01-13,30,75
2024-01-14,35,78
2024-01-15,50,82
2024-01-16,60,85
2024-01-17,55,83
2024-01-18,65,87
2024-01-19,70,88
2024-01-20,50,82
2024-01-21,40,79
2024-01-22,45,80
2024-01-23,30,75
2024-01-24,35,78
2024-01-25,50,82
2024-01-26,60,85
2024-01-27,55,83
2024-01-28,65,87
2024-01-29,70,88
2024-01-30,50,82
""
