""
Date,Sea Level (mm)
2024-01,10.1
2024-02,10.3
2024-03,10.5
2024-04,10.4
2024-05,10.7
2024-06,10.8
2024-07,11.0
2024-08,10.9
2024-09,11.1
2024-10,11.2
2024-11,11.3
2024-12,11.5
2025-01,11.4
2025-02,11.6
2025-03,11.8
2025-04,11.9
2025-05,12.0
2025-06,12.2
2025-07,12.1
2025-08,12.3
2025-09,12.5
2025-10,12.4
2025-11,12.6
2025-12,12.7
2026-01,12.8
2026-02,12.9
2026-03,13.1
2026-04,13.2
2026-05,13.4
2026-06,13.3
2026-07,13.5
2026-08,13.6
2026-09,13.7
2026-10,13.8
2026-11,14.0
2026-12,14.1
2027-01,14.2
2027-02,14.4
2027-03,14.5
2027-04,14.6
2027-05,14.7
2027-06,14.8
2027-07,15.0
2027-08,15.1
2027-09,15.2
2027-10,15.3
2027-11,15.5
2027-12,15.6
""
