""
Date,Value
2024-01-01,90
2024-02-01,85
2024-03-01,83
2024-04-01,80
2024-05-01,78
2024-06-01,75
2024-07-01,73
2024-08-01,70
2024-09-01,68
2024-10-01,65
2024-11-01,63
2024-12-01,60
2025-01-01,58
2025-02-01,55
2025-03-01,53
2025-04-01,50
2025-05-01,48
2025-06-01,45
2025-07-01,43
2025-08-01,40
2025-09-01,38
2025-10-01,35
2025-11-01,33
2025-12-01,30
2026-01-01,28
2026-02-01,25
2026-03-01,23
2026-04-01,20
2026-05-01,18
2026-06-01,15
2026-07-01,13
2026-08-01,10
2026-09-01,8
2026-10-01,5
2026-11-01,3
2026-12-01,0
""
