""
Date,Value
2024-01-01,100
2024-01-02,98
2024-01-03,96
2024-01-04,95
2024-01-05,93
2024-01-06,92
2024-01-07,91
2024-01-08,90
2024-01-09,88
2024-01-10,87
2024-01-11,86
2024-01-12,85
2024-01-13,83
2024-01-14,82
2024-01-15,81
2024-01-16,80
2024-01-17,78
2024-01-18,77
2024-01-19,76
2024-01-20,75
2024-01-21,74
2024-01-22,73
2024-01-23,71
2024-01-24,70
2024-01-25,69
2024-01-26,68
2024-01-27,67
2024-01-28,66
2024-01-29,65
2024-01-30,63
2024-01-31,62
2024-02-01,61
2024-02-02,60
2024-02-03,58
2024-02-04,57
2024-02-05,56
2024-02-06,55
2024-02-07,54
2024-02-08,53
2024-02-09,51
2024-02-10,50
""
