""
| Year | Temperature (°C) | CO2 Levels (ppm) | Sea Level Rise (mm) |
|------|------------------|------------------|---------------------|
| 2000 | 15.2             | 365              | 80                  |
| 2001 | 15.3             | 367              | 82                  |
| 2002 | 15.5             | 370              | 84                  |
| 2003 | 15.7             | 373              | 86                  |
| 2004 | 15.9             | 376              | 88                  |
| 2005 | 16.1             | 379              | 90                  |
| 2006 | 16.3             | 382              | 92                  |
| 2007 | 16.5             | 385              | 94                  |
| 2008 | 16.7             | 388              | 96                  |
| 2009 | 16.9             | 391              | 98                  |
| 2010 | 17.1             | 394              | 100                 |
| 2011 | 17.3             | 397              | 102                 |
| 2012 | 17.5             | 400              | 104                 |
| 2013 | 17.7             | 403              | 106                 |
| 2014 | 17.9             | 406              | 108                 |
| 2015 | 18.1             | 409              | 110                 |
""
