""
Date, Daily Active Users
2023-01-01, 12000
2023-01-02, 12150
2023-01-03, 12300
2023-01-04, 12200
2023-01-05, 12700
2023-01-06, 13000
2023-01-07, 13150
2023-01-08, 13300
2023-01-09, 12900
2023-01-10, 13500
2023-01-11, 13870
2023-01-12, 14000
2023-01-13, 14250
2023-01-14, 14400
2023-01-15, 14100
2023-01-16, 14550
2023-01-17, 14700
2023-01-18, 14900
2023-01-19, 15000
2023-01-20, 15230
2023-01-21, 15500
2023-01-22, 15650
2023-01-23, 15800
2023-01-24, 16000
2023-01-25, 16150
2023-01-26, 16230
2023-01-27, 16450
2023-01-28, 16700
2023-01-29, 16800
2023-01-30, 16950
2023-01-31, 17050
""
