""
Category,Value1,Value2
Health,23,56
Health,45,78
Health,67,89
Health,89,123
Health,12,34
Health,34,67
Health,56,98
Health,78,123
Health,90,150
Health,15,40
Health,37,69
Health,59,110
Health,81,145
Health,94,170
Health,18,50
Health,39,75
Health,62,115
Health,85,155
Health,97,190
Health,21,55
Health,43,85
Health,65,120
Health,88,160
Health,100,200
Health,25,60
Health,48,90
Health,70,130
Health,92,175
Health,105,220
Health,28,65
Health,50,95
Health,73,135
Health,95,180
Health,110,230
Health,30,70
Health,53,100
Health,75,140
Health,98,185
Health,112,235
""
