""
x,y
1,5
2,3
3,8
4,4
5,7
6,5
7,6
8,4
9,7
10,3
11,6
12,5
13,8
14,4
15,7
16,5
17,6
18,3
19,7
20,4
21,6
22,5
23,8
24,3
25,7
26,5
27,6
28,4
29,7
30,3
31,6
32,5
33,8
34,4
35,7
36,5
37,6
38,3
39,7
40,4
41,6
42,5
43,8
44,4
45,7
46,5
47,6
48,3
49,7
50,4
51,6
52,5
53,8
54,3
55,7
56,5
57,6
58,4
59,7
60,3
61,6
62,5
63,8
64,4
65,7
66,5
67,6
68,3
69,7
70,4
71,6
72,5
73,8
74,4
75,7
76,5
77,6
78,3
79,7
80,4
81,6
82,5
83,8
84,4
85,7
86,5
87,6
88,3
89,7
90,4
91,6
92,5
93,8
94,4
95,7
96,5
97,6
98,3
99,7
100,4
""
