""
Category,Value1,Value2
Graphic Design,55,48
Interior Design,68,58
Architecture,80,70
Fashion Design,45,60
Product Design,70,50
Illustration,75,65
Animation,60,55
Photography,40,35
Industrial Design,85,78
Textile Design,65,72
Game Design,50,45
Web Design,78,68
Graphic Design,52,47
Interior Design,63,56
Architecture,82,69
Fashion Design,46,62
Product Design,72,48
Illustration,73,66
Animation,58,54
Photography,42,34
Industrial Design,87,76
Textile Design,67,74
Game Design,53,43
Web Design,76,70
""
