""
Year,North America,Europe,Asia-Pacific,Latin America,Middle East and Africa
2000,50,40,30,20,10
2001,55,45,35,25,15
2002,60,50,40,30,20
2003,65,58,45,32,22
2004,68,62,48,35,25
2005,70,65,50,36,28
2006,75,72,55,39,30
2007,80,78,60,42,35
2008,85,83,65,45,40
2009,90,88,68,48,44
2010,95,93,72,52,50
2011,100,98,77,55,55
2012,105,104,82,58,60
2013,110,110,88,62,65
2014,115,116,93,66,70
2015,120,120,98,68,75
2016,125,122,102,71,78
2017,130,125,105,73,80
2018,135,128,108,75,83
2019,142,130,110,78,85
2020,150,135,115,80,88
""
