""
date,Electric Cars,Solar Energy,Smart Homes
2015-01,120,80,90
2015-02,150,95,110
2015-03,175,110,130
2015-04,200,125,150
2015-05,225,135,170
2015-06,250,150,190
2015-07,275,160,210
2015-08,300,175,230
2015-09,320,185,250
2015-10,340,200,270
2015-11,360,210,290
2015-12,380,220,310
2016-01,390,230,330
2016-02,405,240,350
2016-03,420,250,370
2016-04,435,260,390
2016-05,450,270,410
2016-06,465,280,430
2016-07,475,285,445
2016-08,480,290,455
2016-09,490,295,465
2016-10,500,300,475
2016-11,510,305,480
2016-12,520,310,485
2017-01,525,312,487
2017-02,530,315,490
2017-03,540,320,495
2017-04,550,325,500
2017-05,555,330,505
2017-06,560,335,510
2017-07,565,340,515
2017-08,570,345,520
2017-09,575,350,525
2017-10,580,355,530
2017-11,585,360,535
2017-12,590,365,540
""
