""
Year,Education,Healthcare,Infrastructure
1990,120,80,50
1991,150,90,65
1992,175,95,80
1993,200,100,100
1994,180,110,110
1995,160,120,130
1996,170,125,140
1997,190,130,150
1998,210,135,160
1999,230,140,170
2000,220,146,180
2001,240,148,190
2002,260,155,200
2003,270,160,210
2004,280,165,220
2005,290,170,230
2006,300,175,240
2007,320,180,250
2008,310,185,260
2009,330,190,270
2010,340,195,280
2011,350,205,290
2012,360,210,300
2013,370,220,310
2014,380,230,320
2015,390,240,330
2016,400,250,340
2017,410,260,350
2018,420,270,360
2019,430,280,370
2020,440,290,380
""
