""
Year,Oceanic Wildlife,Forest Ecosystems,Mountain Wildlife
1990,12000,9000,3500
1991,11500,9200,3700
1992,11800,9300,3900
1993,12100,9600,4100
1994,12500,9800,4300
1995,13000,10100,4500
1996,13600,10500,4800
1997,14000,11000,5100
1998,14500,11600,5300
1999,15100,12200,5500
2000,15500,13000,5700
2001,16000,13800,5900
2002,16200,14300,6100
2003,16500,14700,6400
2004,16800,15100,6600
2005,17000,15500,6800
2006,17500,15900,7000
2007,18000,16300,7200
2008,18500,16800,7400
2009,19000,17200,7600
2010,19500,17700,7800
2011,20000,18000,8000
2012,20500,18300,8200
2013,21000,18500,8400
2014,21200,18800,8600
2015,21500,19000,8800
2016,22000,19500,9000
2017,22500,20000,9200
2018,23000,20500,9400
2019,23500,21000,9600
2020,24000,21500,9800
""
