""
Date,Revenue,Expenses,Profit
2023-01-01,1200,400,800
2023-01-02,1230,430,800
2023-01-03,1270,460,810
2023-01-04,1280,480,800
2023-01-05,1300,500,800
2023-01-06,1350,520,830
2023-01-07,1390,540,850
2023-01-08,1430,560,870
2023-01-09,1480,590,890
2023-01-10,1520,600,920
2023-01-11,1550,620,930
2023-01-12,1580,640,940
2023-01-13,1610,650,960
2023-01-14,1620,665,955
2023-01-15,1640,670,970
2023-01-16,1670,680,990
2023-01-17,1690,690,1000
2023-01-18,1720,700,1020
2023-01-19,1740,710,1030
2023-01-20,1760,720,1040
2023-01-21,1780,730,1050
2023-01-22,1800,740,1060
2023-01-23,1820,750,1070
2023-01-24,1840,760,1080
2023-01-25,1850,765,1085
2023-01-26,1870,770,1100
2023-01-27,1890,775,1115
2023-01-28,1900,780,1120
2023-01-29,1920,790,1130
2023-01-30,1930,800,1130
2023-01-31,1950,810,1140
""
