""
Date,Sales,Expenses,Profit
2021-01-01,12000,8000,4000
2021-01-02,14000,10000,4000
2021-01-03,20000,12000,8000
2021-01-04,22000,14000,8000
2021-01-05,23000,15000,8000
2021-01-06,24000,17000,7000
2021-01-07,25000,18000,7000
2021-01-08,20000,16000,4000
2021-01-09,21000,17000,4000
2021-01-10,22000,15000,7000
2021-01-11,22500,14700,7800
2021-01-12,23000,15500,7500
2021-01-13,21500,14500,7000
2021-01-14,22500,13500,9000
2021-01-15,24500,15500,9000
2021-01-16,24000,17000,7000
2021-01-17,25500,18000,7500
2021-01-18,26500,17500,9000
2021-01-19,27000,18500,8500
2021-01-20,29000,19500,9500
2021-01-21,31000,21000,10000
2021-01-22,33000,22000,11000
2021-01-23,34000,23000,11000
2021-01-24,36000,24000,12000
2021-01-25,37000,25000,12000
2021-01-26,38000,27000,11000
2021-01-27,40000,28000,12000
2021-01-28,42000,29000,13000
2021-01-29,43000,30000,13000
2021-01-30,45000,32000,13000
""
