""
Date,Online Courses,Physical Textbooks,E-books
01-01,120,80,150
02-01,140,90,170
03-01,155,100,180
04-01,160,110,190
05-01,170,115,200
06-01,175,120,210
07-01,180,130,215
08-01,190,140,220
09-01,195,145,230
10-01,200,150,240
11-01,210,160,250
12-01,220,165,260
13-01,230,170,270
14-01,235,175,280
15-01,240,180,290
16-01,245,185,295
17-01,250,190,305
18-01,255,195,310
19-01,260,200,320
20-01,270,205,330
21-01,275,210,340
22-01,280,215,345
23-01,290,220,350
24-01,295,225,355
25-01,300,230,360
26-01,310,235,365
27-01,315,240,370
28-01,320,245,375
29-01,330,250,380
30-01,335,255,390
""
