""
Date,Outdoor Activities,Online Courses,Home Cooking
2021-01,120,80,40
2021-02,130,85,45
2021-03,150,90,50
2021-04,145,100,60
2021-05,160,110,70
2021-06,165,120,80
2021-07,170,130,90
2021-08,180,140,100
2021-09,190,150,110
2021-10,185,160,115
2021-11,195,165,120
2021-12,200,170,125
2022-01,210,175,130
2022-02,220,180,135
2022-03,225,185,140
2022-04,230,190,145
2022-05,235,195,150
2022-06,240,200,155
2022-07,245,205,160
2022-08,250,210,165
2022-09,255,215,170
2022-10,260,220,175
2022-11,265,225,180
2022-12,270,230,185
2023-01,260,240,190
2023-02,255,250,195
2023-03,250,255,200
2023-04,245,260,205
""
