""
datetime,E-books,Online articles,Blog posts,Podcasts
2023-01-01,4000,2340,1200,300
2023-01-02,4100,2400,1300,305
2023-01-03,4200,2430,1360,310
2023-01-04,4300,2420,1400,320
2023-01-05,4400,2480,1450,330
2023-01-06,4450,2550,1500,340
2023-01-07,4500,2600,1555,345
2023-01-08,4550,2650,1660,350
2023-01-09,4600,2700,1700,360
2023-01-10,4700,2740,1740,365
2023-01-11,4800,2800,1800,370
2023-01-12,4900,2850,1850,380
2023-01-13,5000,2900,1900,390
2023-01-14,5100,2950,1950,400
2023-01-15,5150,3000,2000,410
2023-01-16,5200,3050,2050,420
2023-01-17,5300,3100,2100,430
2023-01-18,5400,3150,2150,440
2023-01-19,5500,3200,2200,450
2023-01-20,5600,3250,2250,460
2023-01-21,5650,3300,2300,470
2023-01-22,5700,3350,2350,480
2023-01-23,5800,3400,2400,490
2023-01-24,5900,3450,2450,500
2023-01-25,6000,3500,2500,510
2023-01-26,6100,3550,2550,520
2023-01-27,6150,3600,2600,530
2023-01-28,6200,3650,2650,540
2023-01-29,6300,3700,2700,550
2023-01-30,6400,3750,2750,560
2023-01-31,6500,3800,2800,570
""
