""
Date,Indie Games,AAA Games,Mobile Games
2023-01-01,5200,2400,1000
2023-01-02,5300,2500,1050
2023-01-03,5400,2600,1100
2023-01-04,5500,2700,1150
2023-01-05,5600,2800,1200
2023-01-06,5700,2900,1300
2023-01-07,5800,3000,1350
2023-01-08,5900,3100,1400
2023-01-09,6000,3200,1450
2023-01-10,6100,3300,1500
2023-01-11,6200,3400,1600
2023-01-12,6300,3500,1650
2023-01-13,6400,3600,1700
2023-01-14,6500,3700,1800
2023-01-15,6600,3800,1850
...
(Continue generating data points for the desired range of dates)
""
