""
Quarter,Product A,Product B,Product C
Q1-2019,12000,14000,13000
Q2-2019,15000,16000,14000
Q3-2019,17000,18000,15000
Q4-2019,20000,22000,18000
Q1-2020,21000,23000,19000
Q2-2020,22000,25000,20000
Q3-2020,23000,26000,21000
Q4-2020,24000,28000,23000
Q1-2021,25000,30000,25000
Q2-2021,27000,32000,26000
Q3-2021,29000,33000,27000
Q4-2021,31000,35000,29000
Q1-2022,33000,37000,30000
Q2-2022,35000,39000,31000
Q3-2022,37000,41000,33000
Q4-2022,39000,43000,35000
Q1-2023,40000,45000,37000
Q2-2023,42000,47000,38000
Q3-2023,44000,49000,39000
Q4-2023,46000,51000,41000
""
