""
time,Tablets,Smartphones,Laptops,Desktops
2020-01,1000,2000,1500,3000
2020-02,1200,2400,1550,2900
2020-03,1300,2800,1600,2800
2020-04,1400,2600,1650,2700
2020-05,1500,2500,1700,2600
2020-06,1600,2400,1800,2550
2020-07,1700,2300,1850,2500
2020-08,1800,2200,1900,2450
2020-09,1900,2100,1950,2400
2020-10,2000,2100,2000,2300
2020-11,2100,2300,2100,2200
2020-12,2200,2400,2200,2100
2021-01,2300,2500,2300,2050
2021-02,2400,2600,2400,2000
2021-03,2500,2700,2500,1950
2021-04,2600,2800,2600,1900
2021-05,2700,2900,2700,1850
2021-06,2800,3000,2800,1800
2021-07,2900,3100,2900,1750
2021-08,3000,3200,3000,1700
2021-09,3100,3300,3100,1650
2021-10,3200,3400,3200,1600
2021-11,3300,3500,3300,1550
2021-12,3400,3600,3400,1500
""
