""
Date,High Tech,Healthcare,Energy,E-commerce
2023-01-01,12000,9500,7100,8400
2023-01-02,12120,9700,7200,8500
2023-01-03,12310,9100,7300,8600
2023-01-04,12500,9200,7400,8700
2023-01-05,12700,9300,7500,8800
2023-01-06,12920,9400,7600,8900
2023-01-07,13140,9600,7700,9000
2023-01-08,13360,9800,7800,9100
2023-01-09,13500,9900,7900,9200
2023-01-10,13620,10000,8000,9300
2023-01-11,13720,10100,8100,9400
2023-01-12,13840,10250,8200,9500
2023-01-13,14000,10300,8300,9600
2023-01-14,14120,10400,8400,9700
2023-01-15,14300,10500,8500,9800
2023-01-16,14500,10600,8600,9900
2023-01-17,14600,10700,8700,10000
2023-01-18,14700,10820,8800,10100
2023-01-19,14800,10940,8900,10200
2023-01-20,14900,11050,9000,10300
""
