""
Quarter,Electronics,Apparel,Household,Books
Q1-2019,12000,6000,9000,5000
Q2-2019,13000,7000,8500,5500
Q3-2019,15000,8000,8000,6000
Q4-2019,16000,9000,9500,6500
Q1-2020,17000,9500,10000,7000
Q2-2020,15500,9900,10500,7500
Q3-2020,16500,10300,12000,8000
Q4-2020,18000,12000,13000,8500
Q1-2021,19000,12500,14000,9000
Q2-2021,20500,13000,15000,9500
Q3-2021,21000,13500,16000,10000
Q4-2021,22000,14000,16500,11000
Q1-2022,24000,14500,17000,12000
Q2-2022,23500,15000,17500,12500
Q3-2022,25000,15500,18000,13000
Q4-2022,26000,16000,18500,13500
""
