""
Date,Low Fat Diets,High Protein Diets,Vegan Diets,Low Carb Diets
2021-01,120,80,50,70
2021-02,115,85,55,75
2021-03,130,90,60,65
2021-04,125,100,70,60
2021-05,140,110,80,55
2021-06,150,100,85,50
2021-07,160,110,90,60
2021-08,170,120,95,70
2021-09,180,130,100,80
2021-10,190,140,110,90
2021-11,200,130,115,85
2021-12,190,135,120,80
2022-01,185,140,125,75
2022-02,180,145,130,70
2022-03,175,155,135,65
2022-04,165,160,140,60
2022-05,160,165,145,55
2022-06,155,170,150,50
2022-07,150,175,155,45
2022-08,145,180,160,40
2022-09,140,185,165,35
2022-10,130,190,170,30
2022-11,120,195,175,25
2022-12,110,200,180,20
""
