""
date,Mobile,Desktop,Laptop,Tablet
2023-01-01,120,100,90,80
2023-01-02,115,105,92,82
2023-01-03,118,107,91,86
2023-01-04,123,110,94,85
2023-01-05,125,113,97,89
2023-01-06,128,115,98,92
2023-01-07,130,117,95,90
2023-01-08,133,120,100,93
2023-01-09,135,121,102,94
2023-01-10,140,123,105,97
2023-01-11,138,125,107,99
2023-01-12,141,130,110,101
2023-01-13,145,132,112,103
2023-01-14,147,134,114,104
2023-01-15,150,135,116,106
2023-01-16,148,133,117,107
2023-01-17,151,137,120,109
2023-01-18,153,139,121,110
2023-01-19,157,141,122,113
2023-01-20,160,143,125,115
2023-01-21,162,145,127,117
2023-01-22,165,147,130,120
2023-01-23,160,149,129,122
2023-01-24,158,150,131,123
2023-01-25,155,148,132,121
2023-01-26,152,145,130,120
2023-01-27,150,147,128,117
2023-01-28,152,149,125,118
2023-01-29,145,150,122,115
2023-01-30,140,152,120,112
2023-01-31,138,153,118,110
""
