""
Year,Energy,Industrial Processes,Agriculture,Waste Management,Land-Use Change and Forestry
1990,12000,3000,4000,1500,2000
1991,12300,3100,4050,1550,1950
1992,12700,3200,4100,1600,1900
1993,13000,3300,4200,1650,1850
1994,13400,3400,4300,1700,1800
1995,13900,3500,4400,1750,1770
1996,14500,3600,4500,1800,1750
1997,15000,3700,4600,1850,1700
1998,15500,3750,4700,1900,1650
1999,16000,3800,4800,1950,1600
2000,15700,3850,4850,2000,1550
2001,15900,3900,4900,2050,1500
2002,16200,3950,4950,2100,1450
2003,16500,4000,5000,2150,1400
2004,16800,4050,5050,2200,1370
2005,17200,4100,5100,2250,1350
2006,17500,4150,5150,2300,1320
2007,17800,4200,5200,2350,1300
2008,18100,4250,5250,2400,1290
2009,18300,4300,5300,2450,1280
2010,18500,4350,5350,2500,1270
2011,18800,4400,5400,2550,1250
2012,19100,4450,5450,2600,1230
2013,19300,4500,5500,2650,1210
2014,19600,4550,5550,2700,1200
2015,19800,4600,5600,2750,1190
2016,20000,4650,5650,2800,1180
2017,20200,4700,5700,2850,1170
2018,20500,4750,5750,2900,1150
2019,20700,4800,5800,2950,1130
2020,21000,4850,5850,3000,1100
""
