""
Quarter,Company A,Company B,Company C
Q1 2018,10000,12000,9000
Q2 2018,12000,14000,8500
Q3 2018,13000,16000,8000
Q4 2018,15000,13000,9500
Q1 2019,16000,17500,10000
Q2 2019,17000,16500,10500
Q3 2019,18000,15500,11000
Q4 2019,19000,14500,11500
Q1 2020,20000,18000,12000
Q2 2020,21000,16500,12500
Q3 2020,22000,15500,13000
Q4 2020,23000,20000,13500
Q1 2021,24000,21000,14000
Q2 2021,25000,19000,14500
Q3 2021,26000,18500,15000
Q4 2021,27000,19500,15500
Q1 2022,28000,21500,16000
Q2 2022,29000,20500,16500
Q3 2022,30000,20000,17000
Q4 2022,31000,21000,17500
""
