""
Date,Education,Entertainment,Healthcare
2020-01,120,80,50
2020-02,150,90,60
2020-03,170,130,80
2020-04,180,140,100
2020-05,200,145,110
2020-06,220,155,120
2020-07,230,160,130
2020-08,240,162,140
2020-09,250,170,150
2020-10,260,175,160
2020-11,270,180,170
2020-12,280,182,180
2021-01,290,190,190
2021-02,295,195,200
2021-03,300,200,210
2021-04,310,205,220
2021-05,320,210,230
2021-06,330,215,240
2021-07,340,220,250
2021-08,350,225,260
2021-09,360,230,270
2021-10,370,235,280
2021-11,380,240,290
2021-12,390,245,300
""
