""
Date,Art Supplies,Photography Equipment,Digital Art Tools
2021-01-01,120,80,150
2021-01-02,180,150,130
2021-01-03,90,220,190
2021-01-04,200,160,170
2021-01-05,170,90,300
2021-01-06,210,260,180
2021-01-07,180,200,160
2021-01-08,130,140,220
2021-01-09,160,230,250
2021-01-10,170,180,300
2021-01-11,220,190,230
2021-01-12,140,210,180
2021-01-13,250,170,290
2021-01-14,190,240,320
2021-01-15,230,180,270
2021-01-16,180,190,300
2021-01-17,210,220,350
2021-01-18,260,200,320
2021-01-19,180,180,290
2021-01-20,190,260,310
2021-01-21,240,220,280
2021-01-22,200,150,320
2021-01-23,230,190,340
2021-01-24,220,160,310
2021-01-25,210,230,330
2021-01-26,180,210,280
2021-01-27,230,240,350
2021-01-28,240,180,360
2021-01-29,260,220,340
2021-01-30,270,250,320
2021-01-31,280,230,310
""
