""
date,Organic Traffic,Email Marketing,Social Media
2023-01-01,12000,3000,2100
2023-01-02,12300,3200,2200
2023-01-03,12100,3300,2050
2023-01-04,12500,3400,2250
2023-01-05,13000,3500,2300
2023-01-06,12800,3450,2400
2023-01-07,13200,3550,2500
2023-01-08,13400,3600,2450
2023-01-09,12800,3700,2550
2023-01-10,12500,3750,2600
2023-01-11,12700,3800,2650
2023-01-12,12300,3850,2700
2023-01-13,12000,3900,2750
2023-01-14,11900,3950,2800
2023-01-15,12100,4000,2850
2023-01-16,12400,4050,2900
2023-01-17,12200,4100,2950
2023-01-18,12600,4200,3000
2023-01-19,12900,4300,3050
2023-01-20,13300,4400,3100
2023-01-21,13500,4500,3200
2023-01-22,13000,4550,3250
2023-01-23,12800,4600,3300
2023-01-24,12900,4650,3350
2023-01-25,13100,4700,3400
2023-01-26,13400,4800,3450
2023-01-27,13600,4850,3500
2023-01-28,13100,4900,3550
2023-01-29,13300,4950,3600
2023-01-30,13700,5000,3650
2023-01-31,14000,5100,3700
""
