""
Month,Technology,Healthcare,Energy,Finance,Consumer Goods
Jan-2020,12000,11000,5000,7000,8000
Feb-2020,13500,14600,5200,7500,8600
Mar-2020,12800,13300,5400,7000,9000
Apr-2020,15000,15500,5800,7200,9300
May-2020,16000,16600,6000,7400,9500
Jun-2020,16500,17200,6200,7600,9800
Jul-2020,17000,18000,6400,7800,9900
Aug-2020,17500,18500,6600,8000,10000
Sep-2020,18000,19000,6800,8300,10100
Oct-2020,18500,19500,7000,8500,10300
Nov-2020,19000,20000,7300,8700,10500
Dec-2020,20000,21000,7600,8900,10700
""
