""
Date,Education & Learning - Elementary,Education & Learning - High School,Education & Learning - University
2001-01,4000,2000,1000
2001-02,4080,2020,1040
2001-03,4161,2041,1081
2001-04,4244,2063,1124
2001-05,4328,2085,1168
2001-06,4414,2108,1213
2001-07,4501,2131,1259
2001-08,4589,2155,1307
2001-09,4679,2180,1356
2001-10,4770,2205,1406
2001-11,4862,2231,1458
2001-12,4956,2257,1511
2002-01,5051,2284,1565
2002-02,5147,2311,1621
2002-03,5245,2339,1678
2002-04,5344,2367,1737
2002-05,5444,2396,1797
2002-06,5546,2425,1859
2002-07,5649,2455,1922
2002-08,5753,2485,1987
2002-09,5859,2516,2053
2002-10,5966,2547,2121
2002-11,6075,2579,2190
2002-12,6185,2611,2261
""
