""
date,Smartphones,Laptops,Tablets,Accessories
2021-01,1000,2000,1400,300
2021-02,1200,2100,1500,350
2021-03,1100,2050,1600,320
2021-04,1300,1900,1700,360
2021-05,1400,1800,1650,370
2021-06,1350,1850,1680,310
2021-07,1450,1900,1720,320
2021-08,1500,1950,1800,330
2021-09,1550,2000,1850,340
2021-10,1600,2100,1900,355
2021-11,1650,2200,1950,365
2021-12,1700,2300,2000,380
2022-01,1800,2350,2050,390
2022-02,1750,2200,2100,370
2022-03,1850,2250,2150,360
2022-04,1900,2300,2200,350
2022-05,1950,2350,2250,340
2022-06,2000,2400,2300,330
2022-07,2050,2450,2350,325
2022-08,2100,2500,2400,315
2022-09,2150,2550,2450,310
2022-10,2200,2600,2500,305
2022-11,2250,2650,2550,300
2022-12,2300,2700,2600,295
""
