""
Date,Green Energy Consumption,Non-Renewable Energy Consumption,Energy Emissions
2021-01,800,300,150
2021-02,820,320,160
2021-03,840,340,165
2021-04,860,330,154
2021-05,880,325,148
2021-06,900,310,142
2021-07,920,300,138
2021-08,940,290,132
2021-09,960,280,126
2021-10,980,260,118
2021-11,1000,250,110
2021-12,1020,240,105
2022-01,1040,230,99
2022-02,1060,220,93
2022-03,1080,210,88
2022-04,1100,200,82
2022-05,1120,190,78
2022-06,1140,180,73
2022-07,1160,170,69
2022-08,1180,160,65
2022-09,1200,150,60
2022-10,1220,140,55
2022-11,1240,130,50
2022-12,1260,120,46
""
