""
Date,Codecademy,Udacity,Coursera,Khan Academy
2021-01,12000,9500,22000,18000
2021-02,12350,9700,22500,18400
2021-03,12900,9900,23000,19000
2021-04,13500,10000,24000,19500
2021-05,13800,10200,24500,19800
2021-06,14100,10350,25000,20500
2021-07,14500,10600,25500,21000
2021-08,14800,10800,26000,21200
2021-09,15200,11000,26500,21500
2021-10,15500,11300,27000,21800
2021-11,15700,11500,28000,22000
2021-12,16000,11700,29000,23000
2022-01,16200,11900,30000,23500
2022-02,16500,12000,31000,24000
2022-03,17000,12300,32000,24500
2022-04,17500,12500,33000,25000
2022-05,18000,12700,34000,25500
2022-06,18500,13000,35000,26000
2022-07,19000,13200,36000,26500
2022-08,19500,13400,37000,27000
2022-09,20000,13700,38000,27500
2022-10,20500,13900,39000,28000
2022-11,21000,14000,40000,29000
2022-12,21500,14200,41000,30000
""
