""
date,education,arts,science
2010-01,120,80,50
2010-02,132,85,60
2010-03,101,92,65
2010-04,134,102,70
2010-05,90,110,80
2010-06,230,130,90
2010-07,210,140,100
2010-08,215,145,110
2010-09,185,150,120
2010-10,198,160,130
2010-11,165,175,140
2010-12,122,185,150
2011-01,145,190,160
2011-02,172,200,170
2011-03,148,210,180
2011-04,150,220,190
2011-05,160,230,200
2011-06,175,235,210
2011-07,182,240,220
2011-08,195,245,230
2011-09,212,250,240
2011-10,223,255,250
2011-11,210,260,260
2011-12,188,265,270
2012-01,175,270,280
2012-02,160,275,290
2012-03,160,280,300
2012-04,165,285,310
2012-05,172,290,320
2012-06,180,295,330
2012-07,196,300,340
2012-08,207,305,350
2012-09,210,310,360
2012-10,214,320,370
2012-11,221,325,380
2012-12,208,330,390
""
