""
Quarter,Apple,Google,Amazon,Facebook
Q1-2019,58000,36500,59750,15040
Q2-2019,53800,38600,63410,16820
Q3-2019,64000,40200,69980,17760
Q4-2019,91800,45600,87450,21020
Q1-2020,58300,41100,75420,17780
Q2-2020,59500,38200,88900,18560
Q3-2020,64600,46800,96190,21340
Q4-2020,111400,56100,125630,28090
Q1-2021,76900,55600,108510,26140
Q2-2021,81400,61800,113080,29080
Q3-2021,83300,65300,110810,29020
Q4-2021,123900,75800,137410,33620
Q1-2022,94000,68000,116850,30980
Q2-2022,83300,65400,121780,31720
Q3-2022,87900,67500,110100,30680
Q4-2022,123200,75900,142690,34750
""
