""
Date,Books,Electronics,Clothing
2023-01-01,150,120,80
2023-01-02,155,125,85
2023-01-03,149,130,87
2023-01-04,165,140,90
2023-01-05,170,145,95
2023-01-06,160,150,100
2023-01-07,175,160,105
2023-01-08,180,165,110
2023-01-09,185,170,115
2023-01-10,190,180,120
2023-01-11,195,190,125
2023-01-12,200,195,130
2023-01-13,190,185,135
2023-01-14,180,175,140
2023-01-15,185,178,150
2023-01-16,189,182,155
2023-01-17,193,189,157
2023-01-18,195,190,160
2023-01-19,200,195,162
2023-01-20,205,200,165
2023-01-21,210,205,170
2023-01-22,220,215,175
2023-01-23,230,225,180
""
