""
Date,Outdoor Activities,Indoor Exercises,Competitive Sports
2021-01-01,120,80,60
2021-01-02,100,130,70
2021-01-03,140,110,80
2021-01-04,170,120,90
2021-01-05,160,130,75
2021-01-06,180,140,65
2021-01-07,190,150,85
2021-01-08,200,160,95
2021-01-09,180,170,100
2021-01-10,160,180,110
2021-01-11,180,190,120
2021-01-12,200,200,130
2021-01-13,210,210,140
2021-01-14,220,220,150
2021-01-15,230,230,160
2021-01-16,240,240,170
2021-01-17,250,250,180
2021-01-18,260,260,190
2021-01-19,250,270,200
2021-01-20,240,280,210
2021-01-21,260,290,220
2021-01-22,280,280,230
2021-01-23,270,270,240
2021-01-24,260,260,250
2021-01-25,280,250,260
2021-01-26,300,240,270
2021-01-27,310,230,280
2021-01-28,320,220,290
2021-01-29,330,210,300
2021-01-30,340,200,310
2021-01-31,350,190,320
""
