""
Date,Stocks,Bonds,Commodities,Real Estate
2021-01-01,20000,15000,5000,10000
2021-01-02,21000,16000,5100,10200
2021-01-03,22000,16500,5200,10500
2021-01-04,21500,17000,5300,10800
2021-01-05,22500,18000,5400,11200
2021-01-06,23000,18500,5500,11700
2021-01-07,23500,19000,5650,12000
2021-01-08,24000,19500,5800,12300
2021-01-09,24500,20000,5900,12700
2021-01-10,25000,20500,6000,13000
2021-01-11,25500,21000,6100,13500
2021-01-12,26000,22000,6200,14000
2021-01-13,26500,22500,6300,14500
2021-01-14,27000,23000,6400,15000
2021-01-15,28000,23500,6500,15500
2021-01-16,29000,24000,6600,16000
2021-01-17,30000,24500,6700,16500
2021-01-18,31000,25000,6800,17000
2021-01-19,32000,25500,6900,17500
2021-01-20,33000,26000,7000,18000
2021-01-21,34000,26500,7100,18500
2021-01-22,35000,27000,7200,19000
2021-01-23,36000,27500,7300,19500
2021-01-24,37000,28000,7400,20000
2021-01-25,38000,28500,7500,20500
2021-01-26,39000,29000,7600,21000
2021-01-27,40000,29500,7700,21500
2021-01-28,41000,30000,7800,22000
2021-01-29,42000,30500,7900,22500
2021-01-30,43000,31000,8000,23000
2021-01-31,44000,31500,8100,23500
""
