Date,Espresso,Americano,Cappuccino,Latte,Tea,Specialty Drinks
2023-02-01,50,75,120,90,60,45
2023-02-02,45,70,115,85,55,40
2023-02-03,60,80,130,95,65,50
2023-02-04,70,90,140,100,70,60
2023-02-05,65,85,135,96,68,55
2023-02-06,55,78,125,92,64,48
2023-02-07,48,76,120,89,62,44
2023-02-08,52,79,128,93,66,51
2023-02-09,50,80,124,96,68,49
2023-02-10,65,90,133,102,70,58
2023-02-11,75,95,145,110,75,65
2023-02-12,60,85,138,99,72,56
2023-02-13,55,77,121,88,63,45
2023-02-14,80,100,150,120,80,70
2023-02-15,58,84,126,94,67,53
