""
Category,Design,Usability,Creativity
Art & Design,85,75,65
Science & Nature,90,80,70
Health & Psychology,70,60,50
Culture & Society,80,70,60
Economics & Finance,95,85,75
Education & Learning,75,65,55
Entertainment & Leisure,85,75,65
Environment & Climate Change,90,80,70
Food & Nutrition,80,70,60
Travel & Adventure,85,75,65
Fashion & Beauty,75,65,55
Politics & Governance,70,60,50
Sports & Fitness,90,80,70
History & Archaeology,85,75,65
Philosophy & Ethics,80,70,60
Music & Performing Arts,85,75,65
Literature & Writing,70,60,50
Business & Entrepreneurship,95,85,75
Astronomy & Space Exploration,90,80,70
""
