""
Category,Subcategory,Value1,Value2,Value3,Value4
Art,Design,120,200,150,80
Science,Nature,180,240,210,120
Health,Psychology,140,180,170,90
Culture,Society,160,220,180,110
Economics,Finance,190,230,200,130
Education,Learning,170,210,190,100
Entertainment,Leisure,150,200,160,85
Environment,Climate Change,180,220,195,115
Food,Nutrition,160,210,175,95
Travel,Adventure,170,230,185,105
Fashion,Beauty,150,200,170,90
Politics,Governance,190,240,210,120
Sports,Fitness,180,230,200,110
History,Archaeology,170,220,190,105
Philosophy,Ethics,160,210,180,100
Music,Performing Arts,150,200,170,90
Literature,Writing,140,190,160,85
Business,Entrepreneurship,180,230,200,110
Astronomy,Space Exploration,190,240,210,120
""
