""
Category,Year,Value1,Value2,Value3
Art & Design,2018,320,450,520
Art & Design,2019,360,480,530
Art & Design,2020,400,490,540
Art & Design,2021,420,500,560
Art & Design,2022,450,520,580
Art & Design,2023,470,530,600
Science & Nature,2018,300,420,480
Science & Nature,2019,340,450,490
Science & Nature,2020,370,460,500
Science & Nature,2021,390,480,510
Science & Nature,2022,410,500,530
Science & Nature,2023,430,520,550
Health & Psychology,2018,280,410,460
Health & Psychology,2019,320,430,470
Health & Psychology,2020,350,450,480
Health & Psychology,2021,370,470,490
Health & Psychology,2022,400,490,510
Health & Psychology,2023,420,510,530
""
