""
Category,Year,Value
Art & Design,2010,150
Art & Design,2011,200
Art & Design,2012,180
Art & Design,2013,220
Art & Design,2014,260
Art & Design,2015,300
Art & Design,2016,340
Art & Design,2017,380
Art & Design,2018,420
Art & Design,2019,460
Art & Design,2020,500
Science & Nature,2010,130
Science & Nature,2011,170
Science & Nature,2012,160
Science & Nature,2013,210
Science & Nature,2014,240
Science & Nature,2015,280
Science & Nature,2016,320
Science & Nature,2017,360
Science & Nature,2018,400
Science & Nature,2019,430
Science & Nature,2020,470
Health & Psychology,2010,100
Health & Psychology,2011,140
Health & Psychology,2012,130
Health & Psychology,2013,170
Health & Psychology,2014,210
Health & Psychology,2015,250
Health & Psychology,2016,290
Health & Psychology,2017,330
Health & Psychology,2018,370
Health & Psychology,2019,410
Health & Psychology,2020,450
""
