""
Category,Year,Value
Art & Design,2015,30
Art & Design,2016,40
Art & Design,2017,35
Art & Design,2018,50
Art & Design,2019,55
Art & Design,2020,60
Art & Design,2021,70
Art & Design,2022,75
Science & Nature,2015,20
Science & Nature,2016,25
Science & Nature,2017,30
Science & Nature,2018,35
Science & Nature,2019,40
Science & Nature,2020,50
Science & Nature,2021,55
Science & Nature,2022,60
Health & Psychology,2015,10
Health & Psychology,2016,15
Health & Psychology,2017,20
Health & Psychology,2018,25
Health & Psychology,2019,30
Health & Psychology,2020,35
Health & Psychology,2021,40
Health & Psychology,2022,45
Culture & Society,2015,25
Culture & Society,2016,30
Culture & Society,2017,35
Culture & Society,2018,40
Culture & Society,2019,45
Culture & Society,2020,50
Culture & Society,2021,55
Culture & Society,2022,60
""
