""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,85
Art & Design,Architecture,95
Art & Design,Graphic Design,70
Art & Design,Photography,110
Art & Design,Digital Art,60
Science & Nature,Astronomy,130
Science & Nature,Biology,115
Science & Nature,Chemistry,90
Science & Nature,Physics,125
Science & Nature,Geology,100
Science & Nature,Ecology,105
Health & Psychology,Mental Health,135
Health & Psychology,Physical Health,140
Health & Psychology,Neuroscience,120
Health & Psychology,Wellness,130
Health & Psychology,Nutrition,145
Health & Psychology,Psychology,115
Culture & Society,History,80
Culture & Society,Anthropology,75
Culture & Society,Sociology,70
Culture & Society,Political Science,85
Culture & Society,Religious Studies,65
Culture & Society,Gender Studies,60
""
