""
Category,Subcategory,Value
Astronomy & Space Exploration,Planets,40
Astronomy & Space Exploration,Stars,30
Astronomy & Space Exploration,Galaxies,20
Astronomy & Space Exploration,Black Holes,15
Astronomy & Space Exploration,Nebulae,10
Astronomy & Space Exploration,Comets,5
Astronomy & Space Exploration,Asteroids,25
Astronomy & Space Exploration,Exoplanets,35
Astronomy & Space Exploration,Space Missions,45
Astronomy & Space Exploration,Space Telescopes,50
Astronomy & Space Exploration,Space Stations,60
Astronomy & Space Exploration,Spacecraft,55
Astronomy & Space Exploration,Satellites,65
Astronomy & Space Exploration,Space Probes,75
Astronomy & Space Exploration,Meteorites,80
Astronomy & Space Exploration,Constellations,85
Astronomy & Space Exploration,Deep Space,95
Astronomy & Space Exploration,Interstellar Space,100
Astronomy & Space Exploration,Space Debris,110
Astronomy & Space Exploration,Gravity Waves,120
""
