""
Category,Subcategory,Value
Science & Nature,Biology,120
Science & Nature,Chemistry,80
Science & Nature,Physics,100
Science & Nature,Astronomy,150
Science & Nature,Earth Science,70
Health & Psychology,Mental Health,110
Health & Psychology,Physical Health,130
Health & Psychology,Neuroscience,90
Health & Psychology,Psychology,85
Health & Psychology,Public Health,105
Travel & Adventure,Beaches,95
Travel & Adventure,Mountains,115
Travel & Adventure,Cities,125
Travel & Adventure,Deserts,75
Travel & Adventure,Jungles,85
""
