""
name,value
Technology,1200
Technology:Apple,300
Technology:Microsoft,200
Technology:Google,350
Technology:IBM,80
Technology:Intel,70
Technology:Samsung,200
Financial Services,800
Financial Services:JP Morgan,150
Financial Services:Goldman Sachs,100
Financial Services:PayPal,80
Financial Services:Visa,150
Financial Services:Mastercard,120
Energy,600
Energy:Saudi Aramco,300
Energy:ExxonMobil,120
Energy:Shell,90
Energy:BP,60
Energy:Chevron,30
Consumer Goods,500
Consumer Goods:Nestle,100
Consumer Goods:Procter & Gamble,90
Consumer Goods:Coca-Cola,80
Consumer Goods:Unilever,70
Consumer Goods:Toyota,50
Consumer Goods:Nike,60
Consumer Goods:Disney,50
Healthcare,400
Healthcare:Johnson & Johnson,90
Healthcare:Pfizer,80
Healthcare:Roche,60
Healthcare:Merck & Co,50
Healthcare:AbbVie,40
Healthcare:Novartis,30
Healthcare:Bristol Myers Squibb,50
""
