""
Category,Adventure,Beach,City,Nature,Wildlife
Group A,20,30,25,15,10
Group B,25,20,30,15,10
Group C,30,25,20,15,10
Group D,20,25,30,15,10
Group E,25,30,15,20,10
Group F,20,15,30,25,10
Group G,25,20,15,30,10
Group H,30,25,20,10,15
Group I,20,30,25,10,15
Group J,25,20,30,10,15
Group K,30,25,20,10,15
Group L,20,25,30,10,15
Group M,25,30,15,10,20
Group N,30,15,25,10,20
Group O,25,20,30,10,15
Group P,20,30,25,10,15
Group Q,25,20,30,10,15
Group R,30,25,20,10,15
Group S,25,30,15,10,20
Group T,20,30,25,10,15
Group U,25,20,30,10,15
Group V,30,25,20,10,15
Group W,25,30,15,10,20
Group X,30,20,25,10,15
Group Y,25,20,30,10,15
Group Z,20,30,25,10,15
""
