""
labels,Online Learning,Classroom Learning,Self-study,Group Study,Workshops
Student1,30,20,25,15,10
Student2,25,25,20,20,10
Student3,20,30,25,15,10
Student4,35,20,15,20,10
Student5,25,20,30,15,10
Student6,20,25,30,15,10
Student7,30,20,20,20,10
Student8,25,30,20,15,10
Student9,20,25,30,15,10
Student10,35,20,20,15,10
Student11,25,20,30,15,10
Student12,20,25,25,20,10
Student13,30,20,20,20,10
Student14,25,30,25,10,10
Student15,20,25,30,15,10
Student16,35,20,20,15,10
Student17,25,20,30,15,10
Student18,20,25,25,20,10
Student19,30,20,20,20,10
Student20,25,30,25,10,10
""
