Month,Espresso,Americano,Cappuccino,Latte,Cold Brew,Flat White,Mocha,Frappuccino,Macchiato,Filter,Tea,Hot Chocolate
January,15,20,18,17,5,7,9,2,3,2,1,1
February,14,18,17,17,5,8,8,3,3,3,1,1
March,14,15,16,20,7,8,10,4,2,2,1,1
April,13,14,18,22,10,8,8,3,2,1,0,1
May,12,13,16,20,15,9,7,3,2,1,0,1
June,10,12,14,18,20,10,6,3,3,1,0,1
July,9,11,12,20,25,9,5,4,3,1,0,1
August,10,12,13,19,22,8,6,4,3,1,0,1
September,12,15,15,18,17,8,7,3,4,1,1,0
October,13,18,16,19,10,8,9,3,3,2,2,1
November,14,20,18,17,8,7,10,3,3,2,2,1
December,16,22,19,18,6,9,11,3,2,2,1,2
